summary,sentiment
Elon Musk has filed a counterclaim against Twitter over a failed deal to buy the social network. The billionaire has asked the court to keep the details of the counterclaim secret.,neutral
"Gazprom will make a statement explaining all the details of the situation with gas-pumping turbines for the Nord Stream gas pipeline, Kremlin spokesman Dmitry Peskov said.",neutral
"Основатель и крупнейший акционер ЛУКОЙЛа Вагит Алекперов, возглавлявший компанию почти 30 лет, покидает пост из-за введенных против него санкций Великобритании. При этом ЛУКОЙЛ стал одной из немногих крупных российских компаний, чей совет директоров открыто выступил против военных действий на Украине. После ухода господина Алекперова пост главы компании, вероятно, в качестве временно исполняющего обязанности займет первый вице-президент Вадим Воробьев.",neutral
"Американская компания Apple опубликовала финансовые показатели за второй квартал 2022 финансового года, который закончился 26 марта.",positive
The billionaire believes that the IT giant is preventing him from getting acquainted with information about fake accounts that existed on the social network. He previously suspended the deal to buy Twitter until he received all the data about the fake pages.,negative
Gazprom has notified the Italian oil and gas company ENI of an increase in gas supplies to Italy from 21 million to 36 million cubic meters.,positive
Украина может летом обратиться в международный арбитраж из-за отказа «Газпрома» полностью оплачивать транзит.,negative
"Прокачка газа по «Северному потоку» из России в Германию снизится на 40%, до 100 млн кубометров в сутки, из-за задержки с возвратом компанией Siemens Energy газоперекачивающих агрегатов (ГПА) из ремонта. По данным “Ъ”, один ГПА сейчас находится в Канаде, отказывающейся возвращать его в Россию из-за санкций в отношении «Газпрома». Кроме того, Оттава расценивает его как товар двойного назначения. На фоне этих новостей цены на газ в Европе снова пошли вверх.",negative
"Twitter will increase its annual revenue to $26.4 billion in six years by 2028, while last year the social network earned $5 billion, according to businessman Elon Musk's presentation for investors, The New York Times reported.",positive
"Interros has bought out Oleg Tinkov's stake in TCS Group, which controls Tinkoff Bank. Two weeks ago, Vladimir Potanin's holding agreed to buy another major bank, Rosbank, from Societe Generale. Kommersant's sources and experts note that despite the banks' ""different corporate cultures,"" their businesses complement each other well, so a full merger looks promising. But this would require buying out the shares of other TCS Group shareholders and transferring it to Russian jurisdiction.",positive
"Contrary to the forecast of 2 million users, the service reported a loss of 970 thousand subscribers. The largest outflow - 1.3 million - was recorded in the US and Canada due to the increase in subscription prices",neutral
"The entire volume of gas transit to Ukraine goes through the Sudzha station at a level of about 40 million cubic meters, pumping through Sokhranovka to the LPR is still rejected, Gazprom reported. Kyiv explained that it does not control the station",neutral
"UGMK Iskander Makhmudov and Andrey Bokarev received from Gazprombank the rights to claim against gold mining company Petropavlovsk. Earlier, UGMK claimed to buy GV Gold, but this deal was suspended",positive
"According to Kommersant, Siemens Energy transferred a Canadian export license to Gazprom on July 24, allowing it to repair and transport gas turbines for Nord Stream. Now, in order for Siemens to import the turbine to Russia, Gazprom must change the delivery basis for the machine from Montreal, Canada, to its final destination in Russia. Due to paperwork, the turbine has already passed the ferry that was supposed to leave Germany for Helsinki on July 23. If the parties successfully exchange documents, the machine may be transported in the next few days. However, Kommersant’s sources doubt that the delivery of the turbine will lead to an increase in the volume of gas pumped through Nord Stream: several more machines still need repair.",neutral
"Власти Австралии включили в санкционный список 13 российских юридических лиц, следует из документа, опубликованного на сайте правительства.",negative
"«Газпром» отверг данные «Нашей Нивы» о задержках Белоруссией платежей за газ из-за резкого укрепления российского рубля, сделавшего цену невыгодной. Лукашенко призывал «не переборщить» с укреплением рубля",positive
"Gazprom sent a letter to its customers in Europe, assuring that paying for gas in rubles will not be considered a violation of the sanctions imposed against Russia, Bloomberg reports.",neutral
"In the first half of 2022, the stations of PJSC Unipro increased electricity production by 17.1%, according to the company's financial statements. Thus, in January-June 2022, the power plants of PJSC Unipro generated 26.6 billion kWh of electricity.
The increase in generation in the first half of the year, mainly due to the growth in electricity consumption, is a continuation of the trend that began in the first quarter of this year.
In the second price zone, increased demand for electricity and a decrease in the load of hydroelectric power plants significantly affected the generation volumes of Berezovskaya GRES: in the first half of this year, it increased by 85% compared to the same period last year.
An additional factor in the growth of generation in the reporting period in the first price zone was the loading of the combined-cycle units of Shaturskaya GRES and Surgutskaya GRES-2, which were under repair in the first half of 2021.
Thermal energy production compared to the first half of 2021 decreased by 15% due to meteorological conditions and amounted to 1058.6 thousand Gcal.",positive
Siemens Energy has not yet provided the Russian side with the necessary documents that confirm the possibility of removing the gas turbine engine for the Portovaya compressor station of the Nord Stream gas pipeline from sanctions.,negative
"The fifth package of EU sanctions introduces a complete ban on the transfer of technologies to state-controlled Russian telecom operators. In addition to Rostelecom, this may extend to the mobile operator Tele2, which belongs to it, and Transtelecom, which is building backbone networks based on the infrastructure of Russian Railways. Despite the growing policy of import substitution, the companies will not be able to completely replace some of the European solutions, experts are sure.",negative
"First Executive Vice President Vadim Vorobyov, who has worked at the company for more than 20 years, has been appointed acting head of LUKOIL. The founder and largest co-owner of LUKOIL, Vagit Alekperov, resigned amid UK sanctions",neutral
"The company explains that due to the reduction in fuel oil shipment volumes after the introduction of sanctions, there was an excess of fuel in storage facilities. LUKOIL proposes to redirect fuel oil as fuel to thermal power plants",positive
"Экс-кандидат в Госдуму от КПРФ Михаил Лобанов и муниципальный депутат Зюзино Александр Замятин запустили площадку для независимых кандидатов в районные депутаты Москвы «Выдвижение». С ее помощью оппозиционеры собираются противостоять на выборах тем кандидатам, которых поддержит мэрия. Еще одну платформу — «Штаб кандидатов» для «сохранения института независимых муниципальных депутатов» запустила команда экс-«яблочников». Предполагается, что оба проекта будут помогать кандидатам юридически и информационно. Масштабного «политического Uber» по примеру системы, позволявшей на прошлых выборах кандидатам внесистемной оппозиции выдвигаться через «Яблоко», не будет, да и локальные проекты сталкиваются с дефицитом кадров и демотивацией среди потенциальных кандидатов, которые собеседники “Ъ” связывают со спецоперацией на территории Украины.",negative
"Работа газопровода «Турецкий поток» будет приостановлена из-за ежегодного планового технического обслуживания, сообщает пресс-служба «Газпрома» в Telegram.",neutral
"Режим предназначен для небольшого количества пользователей, которые «сталкиваются с серьезными целенаправленными угрозами своей цифровой безопасности». Он будет ограничивать функции iPnone, iPad, MacBook Pro и Mac",neutral
"Общее число таких компаний достигло 20. Фактически оплату провели четыре импортера российского газа, от остальных клиентов платежи за апрельские поставки ожидаются позже в мае",positive
В авиакомпании объяснили замены в ассортименте напитков на борту сбоями в поставках продукции и логистике,positive
"As Kommersant has found out, Rostelecom is entering the microelectronics market by establishing a joint venture with the Elvis Scientific and Production Center to produce Skif mobile processors. The parties are not disclosing the details of the project. Experts and market participants believe that the operator needs the partnership to gain a foothold in the segment of components for Internet of Things devices, which are in short supply due to sanctions.",positive
The airline explained the changes in the range of drinks on board by disruptions in the supply of products and logistics,positive
"The Anglo-Dutch Shell has stepped away from managing the joint venture with Gazprom Neft, Salym Petroleum Development, and has reset the asset’s value to zero, according to the company’s report.",negative
МВД Польши ввело санкции против российских физических и юридических лиц.,negative
"Тело бывшего топ-менеджера ЛУКОЙЛа Александра Субботина обнаружили 8 мая в частном доме в Мытищах. Он умер от сердечной недостаточности. Сообщалось, что хозяин дома — шаман, проводивший ритуал вуду",negative
"У иностранных самолетов НОВАТЭКа пока нет проблем с запчастями, заявил его предправления Леонид Михельсон. Ранее в правительстве не исключили разборку части воздушных судов на запчасти из-за западных санкций",positive
"The social network misled users about the use of personal data from May 2013 to September 2019, US authorities claim",negative
"On April 28, the Moscow Magistrates' Court will consider a protocol on an administrative offence against the social network Twitter for failing to remove information banned in Russia, the press service of the Tagansky District Court told RBC.",negative
"VEON was going to re-register its parent company in a jurisdiction with “high standards of corporate governance and a transparent legal framework.” Now the process has been suspended, the holding has not disclosed the reasons",negative
"Supplies will be cut by 60%. Gazprom said Siemens had delayed the return of gas pumping units from repair, meaning only three of them could be used for now. The company had previously reported that there were eight at the station.",neutral
"VK подписала соглашение о покупке сервисов «Яндекса» — агрегатора новостей «Яндекс.Новости» и платформы для блогеров «Яндекс.Дзен», сообщили в пресс-службах обеих компаний.",positive
"Группа «Газпром» отозвала своих представителей из органов управления Gazprom Germania GmbH и подконтрольных ей компаний, сообщается в Telegram-канале «Газпрома».",negative
"Совет директоров Twitter принял меру, которая должна защитить компанию от «нежелательного и ни к чему не обязывающего» предложения Илона Маска о выкупе соцсети",negative
"Aeroflot Group and Ural Airlines will switch to the Russian ticket booking system Sirena-Travel, of which Rostec is a partner. Earlier, S7 announced its intention to switch to another Russian system, ORS",positive
"Russian retailer Lenta plans to double its revenue by 2025 and bring it to about 1 trillion rubles, said the company's financial director Andrey Spivak during an online conference with the owner of the smart-lab.ru project Timofey Martynov. ""We believe that we have a very ambitious strategy. We want to double in terms of revenue by 2025 and reach a turnover of about 1 trillion rubles,"" he said. In addition, he emphasized that the company wants to be a leader - player ""number one"" or player ""number two"" in those markets or in those segments where it is present.",positive
"Владимир Габриелян и второй погибший — менеджер по закупкам Сергей Мерзляков — ехали на вездеходах вдоль Белого моря в НАО, они перевернулись, и их потащило в море. Еще два человека, которые были с ними, выжили",negative
"Самолет «Аэрофлота» задержали в Коломбо по требованию лизинговой компании еще 2 июня, более 200 пассажиров тогда сняли с рейса. Воздешному судну разрешили вернуться в Россию",neutral
Shell объявила о решении продать доли в совместных предприятиях с «Газпромом» в конце февраля. На минувшей неделе компания приступила к поэтапному выводу сотрудников из проектов,negative
"QIWI founder Sergey Solonin received 38% of the Station startup, which was created by Skolkovo Ventures and Dentsu Group to develop marketing technologies. However, the latter is leaving the Russian market",positive
"Объявленный Украиной форс-мажор по транзиту российского газа через пункт Сохрановка ставит вопрос о том, продолжит ли «Газпром» платить Киеву за транзит в полном объеме. По условиям контракта «Газпром» обязан платить Украине за мощности по прокачке 109,5 млн кубометров в сутки, но теперь компания не может воспользоваться 30% забронированных мощностей. Глава «Нафтогаза Украины» Юрий Витренко заявил, что «Газпром» все равно должен платить за транзит полностью.",negative
"The FAS has developed standards for the sale of gas on the exchange for Gazprom and independent producers, according to a report from the service.",neutral
"Moscow Exchange will transfer Seligdar shares from the ""Second Level"" section to the ""First Level"" section of the List of Securities Admitted to Trading from July 29, 2022, the trading platform reported. The decision was made in connection with the receipt of a corresponding application.
Trading in the company's securities on the Moscow Exchange began in 2011.
The First Level of Listing includes shares of companies that comply with the Listing Rules of the Moscow Exchange, including requirements for information disclosure, corporate governance, market capitalization, and the number of shares in free float.",positive
"Poland must pay for gas supplies today in accordance with the new payment procedure, Gazprom's press service told RBC.",neutral
"По данным “Ъ”, Siemens Energy 24 июля передала «Газпрому» экспортную лицензию Канады, позволяющую ремонтировать и транспортировать газовые турбины для «Северного потока». Теперь, чтобы Siemens могла ввезти турбину в Россию, «Газпром» должен изменить базис доставки машины с канадского Монреаля на конечный пункт в РФ. Из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из Германии в Хельсинки 23 июля. Если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. Но источники “Ъ” сомневаются, что доставка турбины приведет к росту прокачки по «Северному потоку»: еще несколько машин нуждаются в ремонте.",neutral
"At the same time, Skyeng shareholders are also negotiating with other major players in the online education market, the publication writes.",positive
"Компания МТС начала продавать уцененные и бывшие в употреблении смартфоны, в интернет-магазине появилась соответствующая категория товаров.",positive
"Компания рассматривает Вьетнам или Индию в качестве альтернативного варианта. К этому ее подталкивают строгие антиковидные ограничения и опасения по поводу срыва поставок, пишет газета",negative
Бизнесмен твитнул название песни Love Me Tender после принятия советом директоров Twitter мер по защите прав акционеров из-за предложения Маска купить компанию. Тендерное предложение предполагает приобретение напрямую у акционеров,neutral
"Как стало известно “Ъ”, МТС обсуждает покупку крупнейшего по выручке в РФ онлайн-кинотеатра ivi. Эксперты оценивают его на уровне $1–1,2 млрд. Акционерам ivi сделка может позволить вернуть инвестиции в ситуации, когда не удалось провести запланированное IPO, а МТС — стать активным участником рынка онлайн-кинотеатров. Собственный проект оператора Kion за год работы, по данным аналитиков, так и не занял заметной доли.",positive
"Власти Украины призвали руководство американских и европейских банков разорвать связи с компаниями, которые торгуют российской нефтью, сообщает Financial Times.",negative
"Его кандидатуру выдвинули в начале февраля. Как пишет Focus, Шрёдер сообщил, что отказался от предложения давно",negative
"PIK Group, the largest housing developer, has become a co-owner of a startup developing waste recycling technologies. Among them are recycling organic matter using fly larvae and recycling construction materials from demolished buildings",positive
Компания «Интеррос» объявила о покупке 35% в TCS Group у семьи Олега Тинькова.,neutral
"Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.",neutral
"In Moscow, unknown individuals stole Apple equipment from the office of the Russian representative office of the Chinese company ByteDance, which owns the social network TikTok, worth more than 1 million rubles.",negative
"According to the publication, VK offered 65-80 billion rubles for the purchase of the service, while the Dutch Prosus estimates the asset at 213 billion rubles. In addition, the owner of Avito believes that VK is ""closely connected to the state""",neutral
"VK's press service told RBC that First Deputy General Director Vladimir Gabrielyan died ""as a result of a tragic accident.""",negative
Убытки компании OMV от прекращения участия в «Северном потоке — 2» превысили 1 млрд евро. Также компания потеря 658 млн евро от реклассификации других российских активов,neutral
Ukraine may appeal to international arbitration in the summer due to Gazprom’s refusal to fully pay for transit.,negative
"Минфин предлагает внести поправки в статью 343 Налогового кодекса о порядке исчисления и уплаты налога, согласно которой сумма НДПИ для «Газпрома» вырастет на 416 млрд руб.",neutral
"“Kommersant” has learned that Rostelecom has proposed appointing its structure as the sole supplier of computing equipment (servers and storage systems) for the Russian market and thus creating a “single window” for purchases. This could involve deliveries not only to government agencies, but also to commercial companies. According to “Kommersant,” the idea is being discussed, but it is being sharply criticized by other Russian IT integrators and is not supported by the Ministry of Digital Development.",positive
"Gazprom Neft is asking the government to improve the taxation of income under service risk agreements (SRA), which could allow investors from ""friendly"" countries to participate in oil and gas projects in Russia without the threat of secondary sanctions. Such agreements do not provide for the transfer of shares or the creation of common property, allowing income or products to be distributed between partners on a contractual basis.",neutral
"Пополнить баланс App Store и iTunes с «QIWI Кошелька» нельзя из-за решения поставщика услуги. Речь идет не об Apple, о дистрибьюторе кодов для пополнения сервисов в России",negative
"MTS planned to sell its tower business (23 thousand cell towers) in the first half of 2022, but the deal was postponed indefinitely. The portfolio was valued at 100 billion rubles.",neutral
"Twitter has become a platform for extremists and a mouthpiece for anti-Russian propaganda, Roscosmos CEO Dmitry Rogozin wrote on Telegram after his account on the social network was blocked.",negative
"Finnish Gasum has announced that it will not pay for Russian gas in rubles and is preparing for a halt in supplies from Russia. As a result, Finland may join Poland and Bulgaria, to which Gazprom stopped supplies in April. Gasum is planning to take last year's dispute with Gazprom over the terms of a long-term contract to arbitration. Meanwhile, Gazprom's largest clients in Germany and Italy have begun opening accounts with Gazprombank to pay for Russian gas under the new terms.",negative
"МОСКВА, 26 июл - РИА Новости. Оператор газотранспортной системы (ОГТС) Украины утверждает, что ""Газпром"" без предупреждения увеличил давление в пограничном участке украинской газотранспортной системы, сообщает издание ""Страна.ua"".
Отмечается, что специалисты оператора якобы обнаружили резкий рост давления на участке газопровода ""Уренгой-Помары-Ужгород"" вблизи границы с Россией.
""Изменение давления произошло без предупреждения со стороны ПАО ""Газпром"", - говорится в заявлении украинского оператора.
Как отмечает издание, украинская сторона проинформировала ""Газпром"" о том, что несвоевременное сообщение информации о смене режимов может привести к внештатным ситуациям.
",neutral
"One of the largest beverage producers in Russia, PepsiCo, is studying the possibilities of developing the category after the head office decided to suspend sales of Pepsi, Mirinda and 7UP in the country. Among the options are the creation of new products under different names in different packages, as well as the expansion of local brands. In the context of the refusal of advertising, the changes threaten to reduce the share, experts say.",neutral
"Команда американского бизнесмена, основателя Tesla и SpaceX Илона Маска проведет проверку 100 случайных аккаунтов в Twitter на подлинность.",neutral
Мировое сообщество в скором времени достигнет значительных успехов в лечении рака.,positive
"Дивиденды по иностранным бумагам, выплаченные компаниями в июне, поступят на счета инвесторов в августе, рассказал глава СПБ Биржи Роман Горюнов. Но деньги получат только держатели бумаг, размещенных на торговых счетах",positive
"С 5 мая «Аэрофлот» будет выполнять прямые рейсы из Москвы в Дели, сообщается на сайте авиаперевозчика.",positive
"Aeroflot airline will resume regular flights to the Maldives from May 13, the company's website reports.",positive
"Продавцы предлагают присоединиться к зарубежным семейным аккаунтам. Большинство объявлений эксперты называют мошенническими, пишет издание",neutral
"Operation of the Turkish Stream gas pipeline will be suspended due to annual scheduled maintenance, Gazprom's press service reported on Telegram.",neutral
"Two leading US defence contractors, Raytheon and Lockheed Martin, have reported sales problems due to shortages of parts and labour, the Financial Times reports.",negative
"Gazprom announced that although it had received documents from Siemens Energy from Canada on turbines for Nord Stream, it was “forced to state that they do not eliminate the previously identified risks and raise additional questions.”",neutral
"Первая партия товаров, заказанных из-за границы через CDEK.Shopping, уже доставлена адресатам. Задержку в компании объяснили необходимостью срочно искать новые маршруты и схемы оплаты «в текущих реалиях»",neutral
Aeroflot will resume regular flights on the Moscow-Beijing-Moscow route from July 20.,positive
"After leaving the post, which Fedun held for more than 25 years, the businessman will remain a shareholder of the company. Earlier, LUKOIL President Alekperov also resigned",neutral
"LUKOIL President Vadim Vorobyov and Rosatom CEO Alexey Likhachev signed a protocol following a strategic session on organizing cooperation, the oilman said. The document is aimed at developing cooperation in the area of ​​equipment supplies for the oil and gas industry, implementing integrated solutions for automation and power supply of production, and developing joint IT products.",positive
"Инвестиционная компания Apollo Global интересуется возможностью поучаствовать в покупке Twitter, узнала WSJ. По данным газеты, Apollo может предоставить Маску или его партнерам по сделке средства на участие в тендере",positive
"По данным газеты, российские компании не могут продлить лицензии на ранее приобретенную технику американских Cisco и IBM. Как уточнили собеседники издания, речь, прежде всего, идет о серверном и сетевом оборудовании",negative
"И.о. главы ЛУКОЙЛа назначен первый исполнительный вице-президент Вадим Воробьев, который работает в компании больше 20 лет. Основатель и крупнейший совладелец ЛУКОЙЛа Вагит Алекперов ушел в отставку на фоне санкций Великобритании",neutral
"Polymetal остановил продажи слитков, произведенных в России, на внутреннем рынке из-за скидок, по которым банки предлагают покупать золото. Золотые и серебряные слитки направляются на экспорт с тем, чтобы получить цену, приближенную к мировой. Кроме того, западные санкции опосредованно исключили из логистики порт Санкт-Петербурга, через который в Антверпен поставлялся концентрат. Еще одним последствием санкций стали проблемы с поставками оборудования. По мнению экспертов, золотодобывающая отрасль существенно зависит от импортного оборудования, что в перспективе скажется на производстве золота.",negative
"«Аэрофлот» планирует заключить контракт с Объединенной авиастроительной корпорацией (ОАК, входит в госкорпорацию «Ростех») на строительство 300 самолетов в рамках Петербургского международного экономического форума (ПМЭФ).",positive
"Gokhran may return to purchasing diamonds from ALROSA, which has fallen under Western sanctions. Its last major purchase was in 2012",positive
"Канада до конца 2024 года освободила все оборудование «Газпрома» от действия санкций, введенных против компании после начала военных действий на Украине. По данным “Ъ”, страна предоставила Siemens Energy временную лицензию для ремонта, обслуживания и транспортировки газоперекачивающего оборудования для «Северного потока». Первая готовая машина еще находится в Канаде и будет отправлена в Россию через Германию 15 июля. Еще два агрегата могут отправиться в Канаду на ремонт в ближайшее время. Однако сам «Газпром» заявляет, что не уверен в том, что получит турбины и, соответственно, сможет полностью восстановить прокачку по «Северному потоку».",positive
"Teboil — нефтяная компания, основанная в Финляндии в 1934 году, которой ЛУКОЙЛ владеет с 2005 года. В Россию она поставляет смазочные материалы. ЛУКОЙЛ выкупил «дочку» Shell и ее АЗС в конце мая",positive
"According to the publication, VK offered 65-80 billion rubles for the purchase of the service, while the Dutch Prosus estimates the asset at 213 billion rubles. In addition, the owner of Avito believes that VK is “closely connected to the state”",neutral
"Ukrainian President Zelensky has warned that Canada's decision to donate a turbine to Nord Stream despite sanctions will cause many problems. It is not too late to reconsider, he said.",neutral
"The bodies of former NOVATEK deputy chairman Protoseni, his wife and daughter were found in their home in Spain, where the family went for the Easter holidays. According to preliminary information, the man committed suicide",negative
"Правительство Болгарии не уточнило, по какой схеме будет рассчитываться стоимость газа при покупке у США, и сколько она будет составлять. В конце апреля «Газпром» остановил поставки в Болгарию из-за неоплаты в рублях",neutral
"Polymetal is the first of Russia's major industrial holdings to consider splitting its business due to sanctions. The Jersey-registered company could sell its Russian assets and focus on developing its Kazakh business, which currently accounts for a third of its revenue. Such a deal would allow Polymetal to retain access to foreign capital markets. The Russian assets would likely go to the holding's largest shareholder, the IST Group.",neutral
"According to the newspaper, Russian companies cannot renew licenses for previously purchased equipment from American Cisco and IBM. As the newspaper's sources specified, this primarily concerns server and network equipment.",negative
"The court's decision concerns the TV channels THT-Comedy, THT4 International, FRIDAY International, KHL TV and TNT Music. Now they can continue to operate in Latvia, but the regulator has promised to appeal the verdict",positive
"Several municipalities in Poland were left without gas due to the suspension of supplies by the Russian company NOVATEK, said the Deputy Minister of Internal Affairs of the Republic Pawel Shefernaker, reports Dziennik.pl.",negative
Российская авиакомпания «Аэрофлот» приостановила выполнение коммерческих рейсов в Коломбо на Шри-Ланке в связи с неблагонадежностью ситуации в части обеспечения беспрепятственных полетов воздушных судов авиакомпании.,negative
"«Газпром» начал готовиться к защите от потенциальных судебных претензий европейских потребителей, которым компания недопоставляет газ с середины июня. Крупнейшие клиенты «Газпрома» в Германии — Uniper и RWE — получили от компании письма с объявлением о форс-мажоре с 14 июня. Тогда же «Газпром» объявил о задержании в Канаде турбины для «Северного потока», сократив поставки по трубопроводу до 40% от проектной мощности. По мнению аналитиков, такими действиями «Газпром» пытается оградить себя от выплаты штрафов за недопоставки.",negative
«Газпром» с 21 мая прекратил поставки газа финской Gasum из-за отказа оплачивать газ в рублях.,negative
"Unipro's net loss in the first half of 2022 under RAS amounted to 12.8 billion rubles against a profit of 7.79 billion rubles in the first half of 2021, the company reported. The loss is due to the impairment of assets in the amount of 32 billion rubles carried out in the first quarter of 2022 as a result of a change in the forecast of macroeconomic indicators against the backdrop of the geopolitical situation.
Gross profit for the first half of this year increased by 60.8% and amounted to 16.7 billion rubles.
In the first half of 2022, Unipro's revenue increased by 20.9% compared to the same period last year and amounted to 54.7 billion rubles.",negative
"German authorities are offering loans to potential buyers of Gazprom Germania, Bloomberg has learned. Berlin is trying to find an alternative to nationalizing the company; Moscow has previously called this idea unacceptable",neutral
