sentence,sentiment,sentence_length
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",negative,205
"Большая часть сырья поступает из Европы и США и оплачивается в евро или долларах США, тогда как продажи осуществляются в рублях.",neutral,128
"Financial , strategic and operational factors are considered .",neutral,62
"3C Expo — это знаковая выставка в Дунгуане, которая ежегодно поддерживается муниципальным правительством Дунгуаня и на которой представлены компьютерные аксессуары, программное обеспечение, коммуникационные и сетевые продукты.",neutral,226
"Уровень производства давно согласован с производителями, поэтому падение потребления приведет к убыткам.",negative,104
"Финская строительная группа Lemminkainen Oyj HEL: LEM1S заявила сегодня, что выиграла контракт на оказание технических услуг для торгового центра «Невский центр», открытие которого запланировано на ноябрь в Санкт-Петербурге, Россия.",positive,232
"Изменения в готовых моделях, внесенные в проект, были переданы субподрядчикам для их включения в процесс изготовления стальных конструкций и конструкций из стеклофибробетона.",neutral,174
"CapMan, имеющая офисы в Хельсинки, Стокгольме, Копенгагене и Осло, управляет фондами выкупа, мезонинными фондами, фондами технологий, естественных наук и недвижимости в странах Северной Европы с общим капиталом около 2,6 млрд евро.",neutral,231
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,158
Exports grew 16.5 percent to 19.1 million liters .,positive,50
"Однако ожидается, что объемы продаж в пищевой промышленности в Финляндии и Скандинавии останутся на относительно хорошем уровне, заявила компания Atria.",positive,152
"«Мы приняли решение, основанное на наших предварительных экономических, эксплуатационных и экологических выводах», — сказал Карвинен.",neutral,133
В настоящее время 95 % доходов Trainers House приходится на финский рынок.,neutral,74
"Финская горнодобывающая компания Talvivaara Mining Co (HEL: TLV1V) заявила в четверг, что выбрала BofA Merrill Lynch и JPMorgan (NYSE: JPM) в качестве совместных букраннеров своего запланированного выпуска конвертируемых облигаций на сумму до 250 млн евро и 332 млн долларов США.",neutral,279
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral,140
Заказ также включает услуги по пуско-наладке и вводу в эксплуатацию.,neutral,68
"Разводненная прибыль на акцию выросла до 3,68 евро с 0,50 евро.",positive,63
"Объем поставки компании Outotec охватывает проектирование, поставку специального оборудования и услуг для обжиговой установки с двумя кальцинаторами с циркулирующим псевдоожиженным слоем.",neutral,187
"Г-н Кари Стадиг продолжит работу в качестве председателя правления, а г-н Матти Артева — в качестве заместителя председателя.",neutral,125
The parties have agreed not to disclose the transaction value .,neutral,63
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide .",positive,110
"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral,94
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",neutral,126
Начиная с 2003 года основное внимание в стратегии Кайро уделялось росту Гластона.,neutral,81
The total investment of the project will be approximately EUR 36m .,neutral,67
"До сделки, финансовые условия которой не разглашаются, Alma Media владела 40 % акций Kotikokki net.",neutral,99
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",neutral,186
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,102
"ЛОНДОН AFX - ABN Amro повысил рейтинг акций Rautaruukki Corp с «продавать» до «удерживать», а целевая цена выросла с 14,5 до 25,75 евро, сообщили дилеры.",positive,153
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral,129
"Реализация проекта «Шувейхат 2» началась в июле 2008 года, когда подряд на реализацию проекта был передан подрядчикам по опреснению воды и электроснабжению.",neutral,156
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,134
Добро пожаловать !,neutral,18
This includes a EUR 39.5 mn change in the fair value of investment properties .,neutral,79
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,100
Никаких изменений в отношении права собственности Virala Oy Ab на акции Tiimari не произошло.,neutral,93
"Акции Danske Bank A-S DANSKE DC подскочили на 3,7 процента до 133,4 кроны, восстановившись после вчерашнего падения на 3,5 процента.",positive,132
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,163
"Kemira, головной офис которой находится в Хельсинки, Финляндия, является международной химической группой, включающей бизнес-направления Kemira Pulp & Paper, Kemira Water, Kemira Specialty и Kemira Coatings.",neutral,207
Stora должна опубликовать отчет о прибыли за четвертый квартал и весь 2009 год 4 февраля.,neutral,89
Что бы вы хотели изменить в следующей попытке Nokia?,neutral,52
"Ожидается, что поставка состоится в конце этого месяца.",neutral,55
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .,negative,92
"Завод компании в России продолжит производство шин для ближнего зарубежья, тогда как завод в Нокиа в Финляндии будет производить шины для других рынков.",neutral,152
Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive,68
"Однако Tyrv+ñinen считает, что авиакомпания повторяет это уже некоторое время.",neutral,78
"Операционная прибыль, за исключением единовременных статей, составила 2,2 млн евро, что ниже показателя за аналогичный период 2008 года в 2,7 млн ​​евро.",negative,153
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,91
"По просьбе газет финской медиакомпании Alma Media научный руководитель Яри Кайво-ойя из Центра исследований будущего Финляндии при Школе экономики Турку составил сценарий будущего национальной экономики Финляндии, используя модель, разработанную Денверским университетом.",neutral,271
"Среди скандинавских компаний, присутствующих в Санкт-Петербурге, называют также шведский концерн NCC, реализующий проекты в области производства асфальта, дорожного и жилищного строительства (проект Swedish Krona).",neutral,214
"Квартальная разводненная прибыль на акцию (EPS) от продолжающихся операций составила 0,21 евро по сравнению с прошлогодними 0,12 евро.",positive,134
"Прибыль до налогообложения составила 4,0 млн евро, снизившись с 4,9 млн евро.",negative,77
На сегодняшний день зарегистрированный акционерный капитал Tiimari составляет 16 474 755 акций.,neutral,95
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative,87
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .",neutral,85
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",negative,182
Production is scheduled to start by the end of April 2007 .,neutral,59
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,254
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",neutral,119
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",neutral,140
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",neutral,105
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,90
"Компания сообщает об убытке за отчетный период в размере 0,4 млн евро по сравнению с убытком в размере 1,9 млн евро за аналогичный период 2005 года.",positive,148
"В 2007 году оборот Etteplan составил 125,2 млн евро.",neutral,52
"In this way , the industry 's starting point has been the consumers ' needs .",neutral,77
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral,210
"Прибыль на акцию (EPS) составила 1,37 евро, снизившись с 2,30 евро.",negative,67
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,120
"Меры являются результатом совместных переговоров с работниками, которые начались в феврале и касались всех операций в стране.",neutral,125
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,136
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive,209
Количество полученных предложений по данному контракту — два.,neutral,61
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,117
Площадь участка составит более шести гектаров.,neutral,46
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,178
Стоимость заказов составляет более 25 млн евро.,neutral,47
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,61
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,positive,162
"Второе место заняла американская компания Motorola Inc. с поставками 217,4 млн. единиц или долей рынка 21,3%, за ней следует южнокорейская Samsung Electronics Co. с поставками 118,0 млн. единиц или долей рынка 11,6%.",neutral,216
"Ранее компания EB поставляла индивидуальное решение для LG Electronics, а теперь делает его коммерчески доступным для других поставщиков мобильных терминалов, а также для операторов беспроводной связи.",positive,201
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,218
"Чистый объем продаж снизился до 91,6 млн евро по сравнению со 109 млн евро за аналогичный период 2005 года.",negative,107
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,126
В этом помещении светлые деревянные полы (в отличие от остальной части магазина) и царит отчетливо скандинавская атмосфера.,neutral,123
The company website is www.ahlstrom.com .,neutral,41
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,115
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",negative,114
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .",positive,94
The financial details of the transaction were not disclosed .,neutral,61
"В январе-июне 2010 года разводненный убыток на акцию составил 0,3 евро против 0,1 евро в первой половине 2009 года.",negative,115
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,positive,123
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative,210
"Объем инвестиций в две фазы проекта оценивается в 300 млн долларов США (215,03 млн евро).",neutral,89
"Чистый объем продаж финского производителя лесозаготовительной техники Ponsse вырос до 51,3 млн евро в первом квартале 2010 года с 37,5 млн евро за аналогичный период 2009 года.",positive,177
Фармацевтический рынок Бельгии Компания Global Research & Data Services недавно опубликовала анализ фармацевтического рынка Бельгии.,neutral,132
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,107
"25 июня 2008 г. (отчет Boy Genius, предоставленный Newstex) — Nokia (NYSE: NOK) N78, да?",neutral,88
"Операционная прибыль составила 30,2 млн евро, что ниже показателя годом ранее в 43,8 млн евро.",negative,94
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,negative,144
"Сервер отвечает за управление устройствами и учетными записями пользователей, а клиентское приложение для настольного компьютера обеспечивает удаленный доступ к мобильным телефонам.",neutral,181
An EU law on the issue may be introduced around 2010 .,neutral,54
"Полнофункциональный ПК весит 1,25 килограмма и имеет толщину чуть более двух сантиметров.",neutral,89
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,neutral,227
"Пожертвования будут предоставлены Университету Аалто и университетам Хельсинки, Тампере, Турку, Восточной Финляндии, Ювяскюля, Оулу и Ваасы, а также политехническим институтам, о которых будет объявлено позднее.",neutral,211
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",positive,204
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,111
"Стоимость сделки составила около 1,2 млн евро.",neutral,46
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,108
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,88
"Финская группа разработчиков программного обеспечения для бизнеса AffectoGenimap Oyj сообщила, что ее чистая прибыль сократилась вдвое до 1,2 млн евро (1,5 млн долларов США) за первые девять месяцев 2006 года с 2,2 млн евро (2,8 млн долларов США) за тот же период 2005 года.",negative,274
"Предприятия, подлежащие продаже, предлагают упаковку для молочных продуктов, пищевых жиров, готовых блюд и мороженого международным и местным клиентам.",neutral,151
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,102
"Чистый объем продаж Группы в третьем квартале 2007 года составил 142,3 млн евро, а операционная прибыль — 4,3 млн евро.",neutral,119
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,77
The company 's market share is continued to increase further .,positive,62
"Компания ожидает, что чистый объем продаж значительно увеличится с 2009 года.",positive,77
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,141
"Прибыль до налогообложения составила 2,0 млн евро по сравнению с убытком в размере 159,2 млн евро в четвертом квартале 2008 года.",positive,129
TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive,145
Стоимость контракта чиновники не разглашают.,neutral,44
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,148
"Операционная прибыль и чистый объем продаж за трехмесячный период увеличились соответственно с 16,0 млн евро и 139 млн евро по сравнению с соответствующим кварталом 2006 года.",positive,175
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",neutral,133
Личность покупателя пока неизвестна.,neutral,36
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,199
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,137
"8600 м2, и на момент инвестирования полностью сдана в аренду нескольким арендаторам.",neutral,84
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,187
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive,111
"Риск, подверженный страхованию, отличному от жизни. Расходы за 12 месяцев по функциям в страховании, отличном от жизни, за исключением расходов на управление инвестициями и расходов на другие оказанные услуги. Инвестиционный портфель страхования, отличного от жизни, по распределению.",neutral,284
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,142
Финская медиагруппа Talentum выпустила предупреждение о прибыли.,negative,64
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral,137
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral,105
Sales in Finland rose by 3.9 % and international growth was 0.7 % .,positive,67
Условия не разглашаются.,neutral,24
"ЕБРР использует собственные средства для предоставления кредита категории А в размере 21,6 млн евро, в то время как часть категории В в размере 10 млн евро была синдицирована двум финским коммерческим банкам — Nordea Bank Finland Plc и Pohjola Bank Plc.",neutral,253
За четыре месяца библиотечная система и ее девять филиалов провели более 80 специальных мероприятий в трех округах.,neutral,115
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",neutral,179
"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",neutral,162
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,251
В 2005 году компания дивиденды не выплачивала.,neutral,46
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral,101
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,232
"Финский разработчик программного обеспечения Done Solutions Oyj сообщил, что его чистая прибыль увеличилась до 3,5 млн евро (4,6 млн долларов США) в 2006 году с 2,3 млн евро (3,0 млн долларов США) в 2005 году.",positive,209
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral,172
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .,neutral,72
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive,206
Срок подписки на акции истекает 30 сентября 2007 года.,neutral,54
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,164
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,174
Residents access to the block is planned to be from Aleksandri Street .,neutral,71
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive,238
Соглашение укрепляет наше долгосрочное партнерство с Nokia Siemens Networks.,positive,76
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,120
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries .",neutral,111
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",neutral,201
"In the Baltic countries , sales fell by 42.6 % .",negative,48
"Компания заявила, что результаты третьего квартала не включают разовые статьи.",neutral,78
"По данным Bloomberg, теперь Marathon владеет 4,6% акций PLX.",neutral,60
Union and company officials did not return calls yesterday .,neutral,60
"«Этот заказ на судно поможет Aspo обеспечить долгосрочную конкурентоспособность своего флота как с точки зрения технологий, так и ценообразования.",positive,146
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",neutral,248
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,155
"Finnair заявила, что меры по сокращению расходов, которые за последние девять месяцев позволили сэкономить около 70 млн евро, позволили снизить убытки авиакомпании.",positive,164
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,197
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",neutral,206
"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral,217
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,189
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",neutral,182
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,160
"Компания сообщила о прибыли в размере 800 000 евро (1,2 млн долларов США) от продажи своей подгруппы Varesvuo Partners и об убытке в размере 400 000 евро (623 000 долларов США) от продажи своей дочерней компании по производству программ Oy Filmiteollisuus Fine Ab.",neutral,264
"Финская компания по производству электронных услуг EMS Elcoteq SE сообщила о чистом убытке в размере 66,4 млн евро (91,2 млн долларов США) за первую половину 2007 года по сравнению с чистой прибылью в размере 7,1 млн евро (9,8 млн долларов США) за тот же период 2006 года.",negative,272
"Модернизированный дробильный контур работает с начала сентября, а его общая производительность в среднем за неделю превышает 40 000 тонн в день.",neutral,144
"Компания сообщила в четверг, что выручка в июле-сентябре выросла на 14 процентов по сравнению с аналогичным периодом прошлого года и составила 467 миллионов евро.",positive,162
"Консолидированная чистая операционная прибыль финского банка +àland увеличилась с 4,8 млн евро в первом квартале 2005 года до 6,4 млн евро в первом квартале 2006 года.",positive,167
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",neutral,192
The fine print is here .,neutral,24
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral,107
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,neutral,107
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,112
Satama 's net sales would be higher than the year before .,positive,58
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive,105
"- Совокупный объем продаж Группы за отчетный период составил 48,2 млн. евро (53,1 млн. евро, 1-9/2007), а прибыль до налогообложения составила 1,2-1,4 млн. евро.",neutral,161
The value of the order is about EUR 30mn .,neutral,42
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,75
